name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code
Bauerfield International Airport,-17.69930077,168.3200073,70,OC,VU,VU-SEE,Port Vila,NVVV,VLI
Wagga Wagga City Airport,-35.16529846,147.4660034,724,OC,AU,AU-NSW,Wagga Wagga,YSWG,WGA
Wellington International Airport,-41.32720184,174.8049927,41,OC,NZ,NZ-WGN,Wellington,NZWN,WLG
Wuhan Tianhe International Airport,30.7838,114.208,113,AS,CN,CN-42,Wuhan,ZHHH,WUH
Xi'an Xianyang International Airport,34.447102,108.751999,1572,AS,CN,CN-61,Xi'an,ZLXY,XIY
Xiamen Gaoqi International Airport,24.54400063,118.1279984,59,AS,CN,CN-35,Xiamen,ZSAM,XMN
Vancouver International Airport,49.19390106,-123.1839981,14,NA,CA,CA-BC,Vancouver,CYVR,YVR
Lester B. Pearson International Airport,43.67720032,-79.63059998,569,NA,CA,CA-ON,Toronto,CYYZ,YYZ
Newman Airport,-23.4178009,119.8030014,1724,OC,AU,AU-WA,Newman,YNWN,ZNE
Queenstown International Airport,-45.021099,168.738998,1171,OC,NZ,NZ-OTA,Queenstown,NZQN,ZQN
